County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,Albany City PD,2021,12,3837,945,24,60,179,682,2892,368,2170,354,Non-New York City
Albany,Albany County Sheriff,2021,12,73,18,0,0,1,17,55,9,41,5,Non-New York City
Albany,Albany County State Police,2021,12,125,43,0,27,1,15,82,7,66,9,Non-New York City
Albany,Altamont Vg PD,2021,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Albany,Bethlehem Town PD,2021,12,329,22,1,5,4,12,307,27,269,11,Non-New York City
Albany,Coeymans Town PD,2021,12,26,2,0,0,0,2,24,7,16,1,Non-New York City
Albany,Cohoes City PD,2021,12,146,18,0,2,3,13,128,21,96,11,Non-New York City
Albany,Colonie Town PD,2021,12,2316,83,2,4,21,56,2233,166,1984,83,Non-New York City
Albany,County Total,2021,,7880,1197,27,108,215,847,6683,664,5518,501,Non-New York City
Albany,Guilderland Town PD,2021,12,747,29,0,6,3,20,718,36,673,9,Non-New York City
Albany,Menands Vg PD,2021,12,107,6,0,0,1,5,101,5,87,9,Non-New York City
Albany,SUNY Police - Albany,2021,7,12,1,0,0,0,1,11,0,10,1,Non-New York City
Albany,Watervliet City PD,2021,12,159,30,0,4,2,24,129,18,103,8,Non-New York City
Allegany,Alfred Vg PD,2021,12,20,6,0,3,0,3,14,3,11,0,Non-New York City
Allegany,Allegany County Sheriff,2021,12,4,4,0,0,0,4,0,0,0,0,Non-New York City
Allegany,Allegany County State Police,2021,12,225,50,1,32,2,15,175,38,116,21,Non-New York City
Allegany,Angelica Vg PD,2021,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Allegany,Belmont Vg PD,2021,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Allegany,Bolivar Vg PD,2021,10,6,2,0,0,0,2,4,1,3,0,Non-New York City
Allegany,County Total,2021,,385,91,1,42,2,46,294,56,207,31,Non-New York City
Allegany,Cuba Town PD,2021,12,26,4,0,1,0,3,22,2,20,0,Non-New York City
Allegany,Friendship Town PD,2021,12,5,2,0,1,0,1,3,2,1,0,Non-New York City
Allegany,Independence Town PD,2021,12,6,4,0,0,0,4,2,1,1,0,Non-New York City
Allegany,SUNY Police - Alfred,2021,12,16,1,0,1,0,0,15,1,14,0,Non-New York City
Allegany,Wellsville Vg PD,2021,12,73,18,0,4,0,14,55,8,37,10,Non-New York City
Bronx,County Total,2021,12,38311,14819,148,619,4048,10004,23492,1925,18432,3135,New York City
Broome,Binghamton City PD,2021,12,1876,360,3,38,53,266,1516,321,1089,106,Non-New York City
Broome,Broome County Park PD,2021,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Broome,Broome County Sheriff,2021,12,549,55,0,25,3,27,494,59,409,26,Non-New York City
Broome,Broome County State Police,2021,12,412,70,1,38,5,26,342,73,250,19,Non-New York City
Broome,County Total,2021,,4647,651,5,132,84,430,3996,631,3182,183,Non-New York City
Broome,Endicott Vg PD,2021,12,393,69,0,8,8,53,324,64,256,4,Non-New York City
Broome,Johnson City Vg PD,2021,12,731,67,1,12,14,40,664,75,572,17,Non-New York City
Broome,Port Dickinson Vg PD,2021,4,1,0,0,0,0,0,1,0,1,0,Non-New York City
Broome,SUNY Police - Binghamton,2021,12,102,4,0,3,0,1,98,5,92,1,Non-New York City
Broome,Vestal Town PD,2021,12,577,26,0,8,1,17,551,34,507,10,Non-New York City
Cattaraugus,Allegany Vg PD,2021,12,13,0,0,0,0,0,13,1,11,1,Non-New York City
Cattaraugus,Cattaraugus County Park PD,2021,12,12,0,0,0,0,0,12,1,11,0,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2021,12,259,44,0,13,3,28,215,40,156,19,Non-New York City
Cattaraugus,Cattaraugus County State Police,2021,12,260,23,0,9,0,14,237,39,179,19,Non-New York City
Cattaraugus,County Total,2021,,1061,150,1,30,10,109,911,129,714,68,Non-New York City
Cattaraugus,Ellicottville Town PD,2021,12,13,1,0,0,0,1,12,2,9,1,Non-New York City
Cattaraugus,Franklinville Vg PD,2021,12,5,0,0,0,0,0,5,2,3,0,Non-New York City
Cattaraugus,Olean City PD,2021,12,411,51,1,2,2,46,360,34,303,23,Non-New York City
Cattaraugus,Portville Vg PD,2021,12,7,0,0,0,0,0,7,1,5,1,Non-New York City
Cattaraugus,Salamanca City PD,2021,12,81,31,0,6,5,20,50,9,37,4,Non-New York City
Cayuga,Auburn City PD,2021,12,672,73,1,28,7,37,599,65,503,31,Non-New York City
Cayuga,Cayuga County Park PD,2021,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Cayuga,Cayuga County Sheriff,2021,12,146,32,3,9,3,17,114,21,85,8,Non-New York City
Cayuga,Cayuga County State Police,2021,12,178,53,0,23,2,28,125,28,89,8,Non-New York City
Cayuga,County Total,2021,,1018,158,4,60,12,82,860,116,696,48,Non-New York City
Cayuga,Moravia Vg PD,2021,12,9,0,0,0,0,0,9,0,9,0,Non-New York City
Cayuga,Port Byron Vg PD,2021,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
